registroDate1;registrotime1;registroFloat1;registroFloat2
10102017;00:30:00;1.915.931.875;1422307
10102017;00:35:00;1914407.25;1.410.580.875
10102017;00:40:00;1928000;1.429.352.875
10102017;00:45:00;1.919.587.875;1418902.25
10102017;00:50:00;1.940.801.875;1.430.133.625
10102017;00:55:00;1.920.624.625;1416850
10102017;01:00:00;1948923.25;1460459.25
10102017;01:05:00;1.942.085.125;1446259.25
10102017;01:10:00;1.918.190.625;1419151.5
10102017;01:15:00;1910964.25;1.404.932.375
10102017;01:20:00;1867520;1.369.598.875
10102017;01:25:00;1939100;1.445.247.375
10102017;01:30:00;1.943.561.125;1.445.590.125
10102017;01:35:00;1930782.25;1426914.25
10102017;01:40:00;1851341.75;1368358.75
10102017;01:45:00;1.362.344.125;1.019.899.625
10102017;01:50:00;1.399.182.875;1059483.75
10102017;01:55:00;1.486.632.375;1183601.75
10102017;02:00:00;1.494.206.125;1.188.764.625
10102017;02:05:00;1473172;1.189.845.375
10102017;02:10:00;1.465.611.125;1.185.854.625
10102017;02:15:00;1.436.606.125;1.133.859.375
10102017;02:20:00;1440591;1121943.75
10102017;02:25:00;1435955.5;1113134.25
10102017;02:30:00;1495268.5;1.204.908.625
10102017;02:35:00;1625660.5;1.310.631.875
10102017;02:40:00;1.813.071.625;1.444.404.625
10102017;02:45:00;1931828.5;1521910
10102017;02:50:00;1973757.25;1.550.374.625
10102017;02:55:00;1839824;1407600
10102017;03:00:00;1872401.75;1.451.050.375
10102017;03:05:00;1855358.5;1.418.072.375
10102017;03:10:00;1803222;1.375.467.125
10102017;03:15:00;1.803.459.875;1367018
10102017;03:20:00;1.806.797.125;1.364.082.625
10102017;03:25:00;1.742.002.125;1292887.75
10102017;03:30:00;1743332;1.294.061.625
10102017;03:35:00;1854929.25;1.409.003.875
10102017;03:40:00;1.833.097.625;1384125.5
10102017;03:45:00;1.866.402.125;1424799
10102017;03:50:00;1.862.870.125;1425836.5
10102017;03:55:00;1.874.600.125;1.428.048.875
10102017;04:00:00;1.819.372.125;1375429.5
10102017;04:05:00;1.818.484.625;1376899.75
10102017;04:10:00;1.784.717.375;1.337.448.375
10102017;04:15:00;1769284;1317464.75
10102017;04:20:00;1.761.542.375;1311412
10102017;04:25:00;1738639;1285850
10102017;04:30:00;1.750.239.875;1.304.324.875
10102017;04:35:00;1.776.892.875;1.335.534.625
10102017;04:40:00;1775812.75;1.327.283.125
10102017;04:45:00;1773680.5;1.325.293.625
10102017;04:50:00;1.770.466.875;1321238.5
10102017;04:55:00;1737343.75;1.301.457.375
10102017;05:00:00;1775585.5;1.334.052.125
10102017;05:05:00;1.789.567.875;1372133.25
10102017;05:10:00;1772473.5;1.337.298.625
10102017;05:15:00;1784817.75;1.352.591.375
10102017;05:20:00;1705059.75;1303061
10102017;05:25:00;1481996.25;1.146.575.625
10102017;05:30:00;1727046.75;1.297.566.375
10102017;05:35:00;1.950.129.375;1.447.979.625
10102017;05:40:00;1927449;1.432.792.875
10102017;05:45:00;1.927.258.625;1.412.977.375
10102017;05:50:00;1821764.75;1.341.222.875
10102017;05:55:00;1651100;1.237.816.375
10102017;06:00:00;1638940.5;1.229.820.625
10102017;06:05:00;1744445;1340430
10102017;06:10:00;1721443.5;1.313.154.875
10102017;06:15:00;1720557;1.312.026.375
10102017;06:20:00;1.709.442.375;1.293.795.875
10102017;06:25:00;1.689.189.125;1276585
10102017;06:30:00;1655405.5;1.241.065.375
10102017;06:35:00;1742681.25;1.297.925.375
10102017;06:40:00;1899705.25;1389084
10102017;06:45:00;1933851.5;1.425.306.125
10102017;06:50:00;1.920.004.625;1.420.358.375
10102017;06:55:00;1746438.75;1.315.174.875
10102017;07:00:00;1.643.830.625;1246088.75
10102017;07:05:00;1615950.25;1.214.278.125
10102017;07:10:00;1621582.75;1239723.25
10102017;07:15:00;1563407;1.172.235.125
10102017;07:20:00;1836364.25;1.355.546.625
10102017;07:25:00;1.889.700.875;1400006.75
10102017;07:30:00;1980908;1.497.555.375
10102017;07:35:00;1945476;1.502.157.625
10102017;07:40:00;1748903.25;1.408.049.875
10102017;07:45:00;1.733.126.375;1.352.506.125
10102017;07:50:00;1.621.879.125;1.234.674.125
10102017;07:55:00;1.512.781.125;1.121.072.375
10102017;08:00:00;1673077.25;1.234.680.125
10102017;08:05:00;1668210;1.224.335.625
10102017;08:10:00;1716064.25;1267594
10102017;08:15:00;1665383.5;1.224.249.875
10102017;08:20:00;1.526.759.375;1.125.602.875
10102017;08:25:00;1571675.5;1.166.739.625
10102017;08:30:00;1.612.886.625;2.077.234.625
10102017;08:35:00;1.531.574.875;1.140.248.375
