registroDate1;registrotime1;registroFloat1;registroFloat2
20171102;13:35:00;47.397.404.166.667;35.150.829.166.667
20171102;13:40:00;478155.25;359.398.125
20171102;13:45:00;45.119.170.833.333;3.332.961.875
20171102;13:50:00;43.815.729.166.667;34.037.795.833.333
20171102;13:55:00;48.970.479.166.667;354290.25
20171102;14:00:00;51.943.383.333.333;38.160.770.833.333
20171102;14:05:00;542.451.875;412.323.125
20171102;14:10:00;56.457.254.166.667;42.984.258.333.333
20171102;14:15:00;57.260.254.166.667;43.168.891.666.667
20171102;14:20:00;516423.25;37.565.970.833.333
20171102;14:25:00;501845.75;356806.5
20171102;14:30:00;50.116.716.666.667;35.471.154.166.667
20171102;14:35:00;50.619.358.333.333;35.719.933.333.333
20171102;14:40:00;49.188.829.166.667;376.387.625
20171102;14:45:00;524.760.875;383.423.125
20171102;14:50:00;55.458.704.166.667;40.002.533.333.333
20171102;14:55:00;55.234.741.666.667;400.896.125
20171102;15:00:00;54.433.866.666.667;39.552.616.666.667
20171102;15:05:00;54.485.541.666.667;39.899.558.333.333
20171102;15:10:00;53.221.358.333.333;38.848.533.333.333
20171102;15:15:00;519.834.375;37.769.095.833.333
20171102;15:20:00;51.253.416.666.667;372870
20171102;15:25:00;53.944.554.166.667;40.410.020.833.333
20171102;15:30:00;561855.75;40.194.745.833.333
20171102;15:35:00;561.671.125;404.034.875
20171102;15:40:00;55.326.433.333.333;42.894.304.166.667
20171102;15:45:00;559.259.375;42.301.916.666.667
20171102;15:50:00;609458.25;446.500.625
20171102;15:55:00;56.842.516.666.667;416805.5
20171102;16:00:00;54.827.166.666.667;41.057.770.833.333
20171102;16:05:00;60.457.708.333.333;47.543.095.833.333
20171102;16:10:00;61.230.754.166.667;482.761.625
20171102;16:15:00;59.054.916.666.667;46.388.020.833.333
20171102;16:20:00;577006.5;43.651.095.833.333
20171102;16:25:00;550.213.375;404064.75
20171102;16:30:00;523.801.875;391079.75
20171102;16:35:00;468959.5;34.876.133.333.333
20171102;16:40:00;44.884.229.166.667;34.584.585.416.667
20171102;16:45:00;47.660.241.666.667;35.918.495.833.333
20171102;16:50:00;47.264.833.333.333;37.838.683.333.333
20171102;16:55:00;48.932.004.166.667;368.501.875
20171102;17:00:00;49.974.608.333.333;37.291.154.166.667
20171102;17:05:00;501885.75;37.193.883.333.333
20171102;17:10:00;48.866.029.166.667;36.262.504.166.667
20171102;17:15:00;505.930.375;37.796.370.833.333
20171102;17:20:00;539275.75;418.328.625
20171102;17:25:00;58.813.758.333.333;44.972.920.833.333
20171102;17:30:00;60.185.170.833.333;47.957.554.166.667
20171102;17:35:00;615.746.375;47.802.091.666.667
20171102;17:40:00;59.576.466.666.667;45.293.870.833.333
20171102;17:45:00;59.643.566.666.667;478.315.625
20171102;17:50:00;556.363.875;430517.75
20171102;17:55:00;54.440.158.333.333;426461
20171102;18:00:00;585907.5;49.298.179.166.667
20171102;18:05:00;60.253.091.666.667;48.299.483.333.333
20171102;18:10:00;57.801.916.666.667;44.708.858.333.333
20171102;18:15:00;56.796.941.666.667;43.366.041.666.667
20171102;18:20:00;56.716.433.333.333;42.993.558.333.333
20171102;18:25:00;54.762.616.666.667;409249.5
20171102;18:30:00;55.057.679.166.667;412987.25
20171102;18:35:00;58.187.816.666.667;44.678.108.333.333
20171102;18:40:00;589639.25;45.746.179.166.667
20171102;18:45:00;571696.25;43.635.933.333.333
20171102;18:50:00;580398.75;44.535.991.666.667
